o99783422,t10006248,2020/10/8,45987,96962172,8,T
o98183626,t10006792,2020/10/1,70130,77456349,4,T
o56485198,t10008078,2020/8/30,95490,21273316,4,T
o59197149,t10004619,2020/11/5,69965,97859947,10,T
o11612861,t10003774,2020/1/30,85187,54045642,6,T
o51212912,t10002985,2020/1/9,79177,89427831,9,F
o53011609,t10000626,2021/8/3,84350,65540526,10,F
o85505424,t10000178,2020/4/11,74827,57070962,10,F
o70214520,t10006237,2021/12/5,34690,72293309,4,T
o17938659,t10012206,2020/1/25,92289,50084781,8,T
o88941306,t10007572,2021/2/22,10914,79303445,8,T
o14018581,t10010632,2021/2/9,27692,85366971,3,F
o74768391,t10007103,2020/10/26,88172,76446860,6,T
o58744085,t10007557,2020/4/23,80526,34951371,8,T
o52853037,t10008011,2021/4/22,81735,45364270,2,F
o83495360,t10006762,2020/7/31,36613,24060363,7,F
o98185673,t10002206,2021/2/20,79957,44576806,10,T
o44786607,t10007889,2021/6/23,53199,38410390,2,T
o30222221,t10003264,2020/7/2,95161,14868418,7,T
o88121124,t10008895,2021/7/6,97758,44756520,10,T
o96485996,t10005155,2021/11/6,58996,59656416,1,F
o51231204,t10001181,2020/4/25,42202,26812280,2,F
o56751864,t10010695,2020/7/12,88753,80959002,6,T
o88301789,t10003107,2021/5/22,91709,10621754,9,F
o66235922,t10012516,2021/1/12,80190,49502701,8,T
o75125757,t10004857,2020/5/7,65350,78686008,5,F
o24915645,t10006594,2021/9/29,83933,24252436,1,F
o37665973,t10012383,2021/3/9,99513,74151401,6,F
o74519882,t10000372,2021/4/27,12270,60103261,9,F
o59909672,t10001636,2021/7/18,37305,76901232,9,F
o85925755,t10001169,2020/9/13,58689,39906303,10,F
o82385503,t10005294,2020/8/16,77371,85235477,6,T
o59305367,t10007963,2020/2/20,25925,87421540,4,F
o74322604,t10010589,2020/4/2,78304,59814886,1,F
o62334953,t10003383,2020/10/10,14847,82942870,4,T
o16032307,t10006831,2020/7/8,55521,93782757,3,T
o40300765,t10002567,2020/7/20,34723,29812480,9,T
o56731022,t10001004,2020/1/29,76148,93563122,2,F
o94064231,t10012225,2020/7/19,82294,43691618,1,T
o67650127,t10002178,2021/1/31,55368,15545522,4,F
o55063836,t10002079,2020/3/11,40638,72624555,5,F
o67687476,t10012390,2021/7/11,61688,93326896,1,T
o53620225,t10000442,2021/10/8,33415,33187382,1,F
o63080319,t10009424,2021/3/26,41392,41351226,10,F
o12545667,t10011618,2021/7/6,10269,77688584,4,T
o43849239,t10002144,2021/8/13,29991,33562408,9,T
o17676333,t10011506,2020/2/22,57865,46220671,1,F
o78527609,t10009233,2021/6/25,30358,95723443,4,F
o49713380,t10000570,2020/10/13,83709,27461182,8,T
o17539058,t10007588,2021/1/10,95206,53255715,8,F
o75801529,t10004941,2020/12/9,88897,50363926,7,F
o54252402,t10010031,2020/12/22,35130,11161996,9,T
o63659199,t10001133,2021/6/14,35129,82069918,6,T
o80852637,t10002753,2020/9/28,95219,73061584,1,F
o72928901,t10004465,2020/4/13,54907,37257453,1,F
o17151504,t10001425,2021/7/4,17372,32900528,5,T
o57228646,t10001941,2020/1/22,17075,81256579,8,F
o37208117,t10006232,2021/2/3,50119,33791611,4,T
o99465950,t10004351,2020/6/30,62412,62191775,9,F
o49149785,t10004621,2021/5/4,67604,29127848,7,T
o24534347,t10007979,2020/2/16,30513,54454011,4,F
o98125888,t10000809,2020/12/17,87151,13555160,7,F
o87176795,t10011106,2020/6/19,11038,90175310,7,F
o85628326,t10009807,2020/5/1,25527,37351792,6,F
o28866363,t10003856,2020/8/18,77918,23702858,1,T
o24360162,t10006873,2019/12/14,72375,88845011,4,T
o65693284,t10002975,2020/8/3,90733,30104360,7,F
o83633860,t10010752,2020/4/5,47505,69149826,7,F
o66087290,t10011367,2020/7/2,17798,22644928,4,T
o57945916,t10003852,2021/7/17,10092,74952918,1,F
o53481584,t10009820,2021/1/30,88514,12766361,7,T
o84179477,t10009646,2020/6/21,40094,10037695,4,T
o98836909,t10006756,2020/11/10,84264,30451575,5,T
o92280186,t10012114,2020/6/18,36311,34473623,7,F
o53990264,t10009909,2020/11/16,32949,20272255,1,T
o47428645,t10010392,2020/12/10,36584,92220613,2,F
o39662476,t10000048,2020/6/24,80077,54917125,6,F
o21903265,t10010809,2021/10/31,92387,77693196,7,T
o77498277,t10001848,2020/11/16,74479,32739453,1,T
o49108209,t10010200,2019/12/27,48017,85960293,10,T
o47292321,t10000439,2020/6/6,28957,43536732,6,F
o85491904,t10008965,2021/3/1,19923,14547854,4,F
o77149752,t10012556,2021/3/27,48202,80441707,7,T
o50757174,t10011897,2019/12/10,89769,90149712,7,F
o69499874,t10003998,2020/1/13,27603,12414709,8,F
o37749538,t10005761,2020/7/11,41057,87180573,5,F
o13225191,t10007799,2021/3/15,85935,90803403,5,F
o38798481,t10006167,2021/7/21,40962,79771419,8,T
o55644420,t10000820,2021/3/19,86608,44860418,3,T
o20660468,t10001296,2020/12/30,91169,39223428,7,F
o42834280,t10009210,2021/6/22,80316,18813426,2,F
o79801984,t10002011,2021/1/24,43554,98753572,4,T
o77558207,t10012542,2021/5/16,10689,80279331,6,F
o95324623,t10009542,2020/11/2,58022,63322528,8,T
o72313538,t10004251,2020/4/17,31323,85689569,8,F
o79024420,t10005827,2020/7/23,86343,31346454,4,T
o49255137,t10000147,2020/7/16,81108,75981125,3,T
o62517829,t10012027,2021/10/10,80696,54977463,10,T
o29334442,t10012175,2021/3/21,77293,27904436,4,F
o88193250,t10006283,2021/3/11,72873,52201809,4,T
o24687669,t10006019,2020/7/5,23535,78960626,7,T
o56129114,t10010106,2021/11/4,42361,68080612,4,T
o28838359,t10008848,2020/12/10,17449,25312643,6,F
o60461621,t10000690,2021/3/6,19722,92120379,1,F
o43289192,t10005536,2020/12/30,24392,92606218,1,F
o67774559,t10011288,2021/4/2,56888,91209219,6,F
o77781921,t10006013,2020/6/10,39608,83636586,6,F
o95890033,t10008415,2020/1/30,95383,84855339,9,T
o79106491,t10003739,2021/11/25,18737,53276746,4,T
o98057531,t10003761,2020/6/13,14169,36421715,1,T
o31558774,t10010091,2020/6/10,81031,27929702,8,F
o96978632,t10005890,2021/5/11,10376,14865337,2,T
o58167835,t10004744,2019/11/6,23692,34392383,5,F
o86464023,t10009345,2020/5/19,31443,74347093,2,F
o28189557,t10010819,2021/2/4,12719,45085147,8,F
o93555228,t10004112,2021/6/20,98272,35514409,6,T
o27565327,t10004336,2020/9/1,96546,68735962,9,F
o55767893,t10008205,2021/5/2,98421,43741911,5,F
o16717958,t10006011,2020/6/9,19139,17460385,8,T
o59275580,t10011555,2021/10/8,24172,97176524,9,F
o88020261,t10004941,2019/12/11,16759,17025477,10,F
o93850049,t10011070,2021/8/21,42320,65615959,7,T
o21547232,t10011114,2020/5/9,32676,52033312,9,F
o66667817,t10001540,2019/11/15,22271,49229536,3,F
o57103161,t10001903,2021/9/28,54410,72078160,10,F
o58099067,t10005432,2019/11/27,11756,83304803,10,F
o93012507,t10008312,2020/8/19,86421,36962368,5,T
o95879549,t10003179,2020/4/6,77523,76231868,3,T
o32608335,t10009036,2020/4/10,27847,91501628,10,F
o75154866,t10004552,2019/11/14,21477,54637614,10,T
o50308809,t10010500,2020/8/26,26807,14116250,5,T
o78932737,t10012105,2020/3/10,48618,24675282,3,T
o39860302,t10004536,2021/8/21,77258,26079188,4,T
o54401611,t10010258,2020/5/5,36024,34266487,10,F
o50245401,t10002340,2021/5/16,18540,46584204,8,T
o82845524,t10003030,2020/5/22,57700,15194896,8,F
o12390977,t10004720,2021/7/12,24162,62848766,4,T
o99292324,t10009134,2021/5/28,67211,46074855,8,F
o35367159,t10011403,2021/5/20,48016,55982217,5,F
o97438304,t10000225,2021/5/31,86844,22208537,3,T
o17715957,t10007533,2020/8/29,56104,56867230,10,T
o53625865,t10008954,2021/11/3,97959,58443084,6,T
o18011793,t10010303,2019/12/12,86390,69941837,6,T
o44591657,t10005143,2021/3/26,92285,18604757,5,F
